,True_Label,Predicted_Label
0,1,0
1,0,0
2,1,0
3,0,0
4,1,0
5,1,0
6,1,0
7,1,0
8,0,0
9,1,0
10,1,0
11,1,0
12,0,0
13,1,0
14,0,0
15,0,0
16,1,0
17,0,0
18,0,0
19,0,0
20,1,0
21,1,0
22,1,0
23,0,0
24,0,0
25,1,0
26,1,0
27,0,0
28,1,0
29,0,0
30,0,0
31,1,0
32,0,0
33,0,0
34,0,0
35,1,0
36,0,0
37,0,0
38,0,0
39,1,0
40,1,0
41,1,0
42,1,0
43,0,0
44,0,0
45,1,0
46,0,0
47,0,1
48,0,1
49,0,1
50,0,1
51,0,1
52,0,1
53,1,1
54,0,1
55,1,1
56,1,1
57,0,1
58,1,1
59,0,1
60,1,1
61,0,1
62,1,1
63,1,1
64,1,1
65,1,1
66,0,1
67,1,1
68,1,1
69,0,1
70,1,1
71,0,1
72,1,1
73,0,1
74,0,1
75,1,1
76,1,1
77,0,1
78,1,1
79,1,1
80,1,1
81,0,1
82,1,1
83,0,1
84,1,1
85,0,1
86,0,1
87,1,1
88,0,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,0,1
95,1,1
96,1,1
97,1,1
98,0,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,0
105,1,0
106,1,0
107,1,0
108,0,0
109,0,0
110,0,0
111,1,0
112,1,0
113,0,0
114,1,0
115,0,0
116,1,0
117,1,0
118,0,0
119,1,0
120,0,0
121,1,0
122,0,0
123,1,0
124,1,0
125,1,0
126,0,0
127,0,0
128,1,0
129,0,0
130,1,0
131,0,0
132,1,0
133,0,0
134,1,0
135,0,0
136,1,0
137,0,0
138,0,0
139,0,0
140,1,0
141,1,0
142,1,0
143,1,0
144,0,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,1,0
153,1,0
154,0,0
155,0,0
156,1,0
157,0,0
158,1,0
159,1,0
160,1,0
161,1,0
162,0,0
163,1,0
164,0,0
165,1,0
166,1,0
167,1,0
168,0,0
169,1,0
170,1,0
171,0,0
172,1,0
173,1,0
174,1,0
175,1,0
176,0,0
177,0,0
178,1,0
179,0,0
180,0,0
181,1,0
182,0,0
183,1,0
184,1,0
185,1,0
186,1,0
187,1,0
188,1,0
189,1,0
190,1,0
191,0,0
192,0,0
193,0,0
194,0,0
195,1,0
196,1,0
197,1,0
198,0,0
199,1,0
200,0,0
201,0,0
202,1,0
203,0,0
204,0,0
205,1,0
206,1,0
207,1,0
208,1,0
209,1,0
210,1,0
211,1,0
212,1,0
213,0,0
214,1,0
215,1,0
216,0,0
217,1,0
218,1,0
219,1,0
220,1,0
221,1,0
222,0,0
223,1,0
224,1,0
225,0,0
226,1,0
227,1,0
228,1,0
229,1,0
230,1,0
231,0,0
232,1,0
233,0,0
234,1,0
235,0,0
236,0,0
237,1,0
238,0,0
239,1,0
240,1,0
241,0,0
242,1,0
243,1,0
244,1,0
245,1,0
246,1,0
247,1,0
248,1,0
249,0,0
250,1,0
251,1,0
252,0,1
253,0,1
254,1,1
255,1,1
256,0,1
257,0,1
258,1,1
259,1,1
260,1,1
261,0,1
262,1,1
263,0,1
264,0,1
265,0,1
266,0,1
267,1,1
268,1,1
269,1,1
270,0,1
271,1,1
272,0,1
273,0,1
274,1,1
275,1,1
276,1,1
277,0,1
278,0,1
279,1,1
280,0,1
281,0,1
282,0,1
283,1,1
284,0,1
285,1,1
286,1,1
287,0,1
288,0,1
289,0,1
290,0,1
291,0,1
292,1,1
293,1,1
294,0,1
295,1,1
296,0,1
297,1,1
298,0,1
299,0,1
300,0,1
301,0,1
302,1,1
303,1,1
304,0,1
305,1,1
306,0,1
307,1,1
308,1,1
309,1,1
310,1,1
311,1,1
312,1,1
313,0,1
314,1,1
315,1,1
316,1,1
317,1,1
318,1,0
319,1,0
320,1,0
321,0,0
322,1,0
323,1,0
324,1,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,1,0
331,1,0
332,1,0
333,1,0
334,0,0
335,0,0
336,0,0
337,1,0
338,0,0
339,1,0
340,0,0
341,0,0
342,0,0
343,1,0
344,0,0
345,0,0
346,1,0
347,1,0
348,1,0
349,1,0
350,1,0
351,0,0
352,1,0
353,0,0
354,0,0
355,1,0
356,1,0
357,1,0
358,1,0
359,1,0
360,0,0
361,1,0
362,0,0
363,1,0
364,1,0
365,1,0
366,1,0
367,0,0
368,0,0
369,1,0
370,0,0
371,0,0
372,1,0
373,1,0
374,0,0
375,0,0
376,0,0
377,1,0
378,1,0
379,0,0
380,1,0
381,0,0
382,0,0
383,0,0
384,0,0
385,1,0
386,1,0
387,0,0
388,1,0
389,1,0
390,1,0
391,0,0
392,1,0
393,1,0
394,1,0
395,0,0
396,0,0
397,0,0
398,0,0
