,Date,Open,High,Low,Close,Predicted_results,action,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit,Unrealized_profit,Unrealized_profit_plus_Cumulative_Profit,Holding_Period,Cumulative_Return,Unrealized_Return,Unrealized_profit_plus_Cumulative_Profit_Return,Cum_portfolio,Unreal_Cum_portfolio
0,2022-01-03,4778.140137,4796.640137,4758.169922,4796.560059,1,Buy,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4796.560059,4796.560059
1,2022-01-04,4804.509766,4818.620117,4774.27002,4793.540039,1,Holding,0.0,0.0,0.0,-3.0200199999999313,-3.0200199999999313,1,0.0,-0.06296220547334401,-0.06296220547334401,4796.560059,4793.540039
2,2022-01-05,4787.990234,4797.700195,4699.439941,4700.580078,1,Holding,0.0,0.0,0.0,-95.97998100000041,-95.97998100000041,2,0.0,-2.0010169750696414,-2.0010169750696414,4796.560059,4700.580078
3,2022-01-06,4693.390137,4725.009766,4671.259766,4696.049805,0,Holding,0.0,0.0,0.0,-100.51025400000071,-100.51025400000071,3,0.0,-2.0954653494103304,-2.0954653494103304,4796.560059,4696.049805
4,2022-01-07,4697.660156,4707.950195,4662.740234,4677.029785,0,sell,-141.22021500000028,-2.9441977847232925,0.0,-119.53027400000065,-119.53027400000065,0,0.0,-2.491999944329283,-2.491999944329283,4796.560059,4677.029785
5,2022-01-10,4655.339844,4673.02002,4582.240234,4670.290039,0,No action,0.0,0.0,-141.22021500000028,0.0,-141.22021500000028,0,-2.9441977847232925,0.0,-2.9441977847232925,4655.339844,4655.339844
6,2022-01-11,4669.140137,4714.129883,4638.27002,4713.069824,0,No action,0.0,0.0,-141.22021500000028,0.0,-141.22021500000028,0,-2.9441977847232925,0.0,-2.9441977847232925,4655.339844,4655.339844
7,2022-01-12,4728.589844,4748.830078,4706.709961,4726.350098,0,No action,0.0,0.0,-141.22021500000028,0.0,-141.22021500000028,0,-2.9441977847232925,0.0,-2.9441977847232925,4655.339844,4655.339844
8,2022-01-13,4733.560059,4744.129883,4650.290039,4659.029785,0,No action,0.0,0.0,-141.22021500000028,0.0,-141.22021500000028,0,-2.9441977847232925,0.0,-2.9441977847232925,4655.339844,4655.339844
9,2022-01-14,4637.990234,4665.129883,4614.75,4662.850098,0,No action,0.0,0.0,-141.22021500000028,0.0,-141.22021500000028,0,-2.9441977847232925,0.0,-2.9441977847232925,4655.339844,4655.339844
10,2022-01-18,4632.240234,4632.240234,4568.700195,4577.109863,0,No action,0.0,0.0,-141.22021500000028,0.0,-141.22021500000028,0,-2.9441977847232925,0.0,-2.9441977847232925,4655.339844,4655.339844
11,2022-01-19,4588.029785,4611.549805,4530.200195,4532.759766,0,No action,0.0,0.0,-141.22021500000028,0.0,-141.22021500000028,0,-2.9441977847232925,0.0,-2.9441977847232925,4655.339844,4655.339844
12,2022-01-20,4547.350098,4602.109863,4477.950195,4482.72998,0,No action,0.0,0.0,-141.22021500000028,0.0,-141.22021500000028,0,-2.9441977847232925,0.0,-2.9441977847232925,4655.339844,4655.339844
13,2022-01-21,4471.379883,4494.52002,4395.339844,4397.939941,1,Buy,0.0,0.0,-141.22021500000028,0.0,-141.22021500000028,0,-2.9441977847232925,0.0,-2.9441977847232925,4655.339844,4655.339844
