,True_Label,Predicted_Label
0,0,1
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,1,0
17,0,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,0,0
29,0,0
30,0,1
31,0,1
32,0,1
33,0,1
34,0,1
35,0,0
36,0,0
37,0,0
38,1,0
39,1,1
40,0,1
41,0,1
42,0,1
43,0,1
44,0,0
45,0,1
46,0,1
47,0,1
48,1,1
49,0,1
50,0,1
51,0,1
52,0,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,0,1
59,0,1
60,0,1
61,0,0
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,0
68,1,0
69,1,0
70,0,0
71,1,0
72,1,0
73,0,0
74,0,0
75,1,0
76,1,0
77,1,0
78,1,0
79,0,0
80,1,0
81,0,0
82,0,0
83,1,0
84,1,0
85,1,0
86,1,0
87,0,0
88,0,0
89,0,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,0,1
108,0,1
109,0,1
110,0,1
111,1,1
112,1,1
113,1,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,1,0
121,0,0
122,1,0
123,1,0
124,1,0
125,1,0
126,1,0
127,0,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,1
133,1,1
134,1,1
135,1,1
136,1,0
137,0,1
138,0,1
139,0,1
140,0,1
141,1,1
142,1,1
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,1
151,1,1
152,1,1
153,1,1
154,0,1
155,1,1
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,1,0
162,1,0
163,1,0
164,1,0
165,1,1
166,0,1
167,0,1
168,0,1
169,0,1
170,0,1
171,0,0
172,1,0
173,0,0
174,1,0
175,1,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,1,0
182,0,1
183,1,1
184,1,1
185,1,1
186,1,1
187,1,1
188,1,1
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,1,0
195,1,0
196,0,0
197,0,1
198,0,1
199,0,1
200,0,1
201,1,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,1,0
209,1,0
210,1,1
211,1,1
212,1,1
213,1,1
214,1,1
215,1,1
216,1,1
217,1,0
218,1,0
219,1,0
220,1,0
221,0,0
222,0,0
223,1,0
224,1,0
225,1,0
226,1,0
227,1,0
228,1,0
229,1,0
230,1,0
231,1,0
232,1,1
233,1,1
234,0,1
235,0,1
236,0,1
237,1,1
238,1,1
239,1,1
240,1,0
241,1,0
242,0,0
243,0,0
244,0,0
245,1,0
246,1,0
247,1,0
248,1,0
249,0,0
250,1,0
251,1,0
252,1,0
253,1,0
254,1,0
255,1,0
256,1,0
257,0,0
258,0,0
259,1,0
260,1,1
261,1,1
262,1,0
263,1,0
264,0,1
265,0,0
266,0,0
267,0,1
268,0,1
269,1,1
270,1,0
271,1,0
272,1,0
273,1,0
274,1,0
275,1,0
276,1,0
277,1,0
278,1,0
279,1,1
280,1,1
281,0,1
282,0,1
283,0,1
284,0,1
285,0,1
286,0,1
287,0,1
288,0,0
289,1,0
290,1,0
291,0,0
292,0,0
293,1,0
294,1,0
295,1,0
296,1,1
297,1,1
298,1,1
299,1,1
300,1,1
301,0,1
302,0,1
303,0,0
304,0,1
305,1,1
306,0,1
307,1,0
308,1,0
309,1,0
310,1,0
311,1,0
312,1,0
313,1,0
314,1,0
315,1,0
316,1,1
317,1,1
318,1,1
319,1,1
320,1,1
321,1,1
322,1,1
323,0,1
324,0,1
325,0,1
326,1,1
327,1,1
328,1,1
329,1,0
330,1,0
331,0,0
332,1,0
333,0,0
334,1,0
335,0,0
336,1,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,1,0
343,1,0
344,0,0
345,0,0
346,1,0
347,1,0
348,1,0
349,1,0
350,1,0
351,1,0
352,1,0
353,1,0
354,1,0
355,1,0
356,1,0
357,1,0
358,1,0
359,1,0
360,1,0
361,1,0
362,0,1
363,0,1
364,0,1
365,0,1
366,0,1
367,1,1
368,1,1
369,1,0
370,1,0
371,1,0
372,1,0
373,1,0
374,1,1
375,1,1
376,1,1
377,1,1
378,1,1
379,1,1
380,1,1
381,1,1
382,0,1
383,0,1
384,0,1
385,0,1
386,0,1
387,1,1
388,1,0
389,1,0
390,1,0
391,1,0
392,0,0
393,0,0
394,1,0
395,1,1
396,0,1
397,1,1
398,1,1
399,1,1
400,1,1
