,True_Label,Predicted_Label
0,0,0
1,0,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,1
9,1,0
10,1,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,0,1
24,1,1
25,1,1
26,1,1
27,0,1
28,0,1
29,0,1
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,1,0
40,1,0
41,1,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,1
49,0,1
50,0,1
51,0,1
52,0,1
53,1,1
54,1,1
55,1,1
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,0,0
62,1,0
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,0,1
74,1,0
75,1,0
76,1,0
77,1,0
78,1,0
79,1,0
80,0,0
81,0,0
82,1,0
83,1,0
84,1,0
85,0,0
86,0,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,0
104,1,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,1,0
112,0,0
113,0,0
114,1,0
115,0,0
116,0,0
117,0,0
118,0,0
119,1,0
120,0,0
121,1,0
122,1,0
123,1,0
124,1,0
125,1,0
126,0,0
127,1,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,0,0
138,1,0
139,1,0
140,1,0
141,1,0
142,1,0
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,1,0
159,1,0
160,1,0
161,0,0
162,0,0
163,1,0
164,1,0
165,1,0
166,1,0
167,1,0
168,0,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,0
174,1,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,1,0
184,1,0
185,1,0
186,1,0
187,1,0
188,1,0
189,1,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,1,0
196,1,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,1,0
205,1,0
206,1,1
207,1,1
208,1,1
209,1,1
210,1,1
211,1,0
212,1,0
213,1,0
214,1,0
215,1,0
216,1,0
217,1,0
218,1,0
219,1,0
220,1,0
221,1,0
222,0,0
223,1,0
224,1,0
225,1,0
226,1,0
227,1,0
228,1,0
229,1,0
230,1,0
231,1,0
232,1,0
233,1,0
234,1,0
235,0,0
236,1,0
237,1,0
238,0,0
239,0,0
240,1,1
241,1,1
242,1,1
243,1,1
244,1,1
245,1,1
246,1,1
247,1,1
248,1,0
249,1,0
250,1,0
251,1,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,1,0
258,1,1
259,1,1
260,1,1
261,0,1
262,0,1
263,0,1
264,0,1
265,0,1
266,1,1
267,1,1
268,1,1
269,1,1
270,0,1
271,1,1
272,0,1
273,1,1
274,1,1
275,1,1
276,0,1
277,0,1
278,0,1
279,0,0
280,0,0
281,0,0
282,0,0
283,1,0
284,0,0
285,1,0
286,0,0
287,0,0
288,0,0
289,0,0
290,1,0
291,1,0
292,1,1
293,1,1
294,0,1
295,1,1
296,0,1
297,0,0
298,0,0
299,0,1
300,0,1
301,1,0
302,1,0
303,1,0
304,1,0
305,1,0
306,1,0
307,1,0
308,1,0
309,1,0
310,1,0
311,1,0
312,1,0
313,1,0
314,1,0
315,1,0
316,1,0
317,1,0
318,0,0
319,0,0
320,0,0
321,0,0
322,1,0
323,1,0
324,1,0
325,0,0
326,0,0
327,0,0
328,0,0
329,1,0
330,1,0
331,1,0
332,1,0
333,0,0
334,0,0
335,0,0
336,0,0
337,1,0
338,1,0
339,1,0
340,0,0
341,0,0
342,1,0
343,1,0
344,1,0
345,1,0
346,1,0
347,1,0
348,1,0
349,1,0
350,1,0
351,0,0
352,0,0
353,0,0
354,0,0
355,1,0
356,1,0
357,1,0
358,1,0
359,1,0
360,0,0
361,1,0
362,1,0
363,1,0
364,1,0
365,1,0
366,1,0
367,0,0
368,0,0
369,1,0
370,0,0
371,1,0
372,0,0
373,0,0
374,0,0
375,0,0
376,1,0
377,1,0
378,1,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,1,0
385,1,0
386,0,0
387,0,0
388,1,0
389,0,0
390,1,0
391,1,0
392,1,0
393,1,0
394,1,0
395,0,0
396,0,1
397,0,1
398,0,1
399,0,1
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,1,0
406,1,1
407,1,1
408,1,1
409,1,0
410,1,0
411,1,0
412,1,0
413,0,0
414,0,0
415,0,0
416,0,1
417,0,1
418,0,1
419,0,1
420,1,1
421,1,0
422,1,0
423,0,0
424,0,0
425,0,0
426,0,1
427,0,1
428,0,1
429,0,1
430,0,1
431,0,1
432,0,1
433,0,1
434,0,1
435,1,1
436,1,1
437,1,1
438,1,1
439,1,1
440,1,0
441,0,1
442,1,0
443,0,0
444,1,0
445,1,0
446,1,0
447,0,1
448,0,1
449,0,1
450,0,1
451,1,1
452,1,1
453,0,1
454,0,0
455,0,0
456,0,0
457,0,0
458,1,1
459,1,1
460,1,1
461,1,1
462,0,1
463,0,1
464,1,1
465,1,1
466,1,1
467,0,1
468,0,1
469,0,1
470,0,1
471,0,1
472,1,0
473,1,0
474,1,0
475,1,0
476,1,0
477,1,0
478,1,0
479,1,1
480,0,1
481,0,1
482,0,1
483,1,0
484,0,0
485,0,0
486,0,0
487,1,0
488,1,0
489,1,0
490,1,0
491,0,0
492,0,0
493,0,0
494,0,0
495,0,0
496,0,0
497,0,0
498,1,0
499,0,0
500,1,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,1
509,0,1
510,0,1
511,0,1
512,0,1
513,1,1
514,1,1
515,1,1
516,1,0
517,1,0
518,0,0
519,0,0
520,0,0
521,0,0
522,1,0
523,1,1
524,1,1
525,0,1
526,0,1
527,0,1
528,0,1
529,0,1
530,1,1
531,1,1
532,0,1
533,0,1
534,0,1
535,0,1
536,0,1
537,1,1
538,0,1
539,1,1
540,1,1
541,1,1
542,1,1
543,1,1
544,1,1
545,1,1
546,1,1
547,1,1
548,1,1
549,1,1
550,1,1
551,1,1
552,1,1
553,0,0
554,0,0
555,0,0
556,0,0
557,0,0
558,1,0
559,0,0
560,1,0
561,1,0
562,0,0
563,0,0
564,1,0
565,1,0
566,0,0
567,0,0
568,0,0
569,0,0
570,1,0
